"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT08","WT13","WT14","WT16","WT17","WT18","WT22"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-01-01","0.00",,"55","41",,,,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-01-02","0.43",,"51","37","    1",,,,,,"    1",,"    1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-01-03","0.03",,"53","45",,,,,,,,,"    1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-01-04","0.80",,"54","42","    1",,,,,,"    1",,"    1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-01-05","0.05",,"48","37","    1",,,,,,,,"    1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-01-06","0.10",,"40","36","    1",,,,,,,"    1","    1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-01-07","0.00",,"45","37","    1",,,,,,"    1",,"    1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-01-08","0.00",,"50","37",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-01-09","0.17",,"49","41","    1",,,,,,"    1","    1","    1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-01-10","0.04",,"43","33","    1",,,,,,,,"    1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-01-11","0.00",,"43","30",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-01-12","0.00",,"43","29",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-01-13","0.00",,"41","27",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-01-14","0.16",,"40","33","    1",,,,,,"    1",,"    1",,"    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-01-15","0.21",,"34","26","    1",,,,,,"    1",,,,"    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-01-16","0.10",,"35","27",,,,,,,"    1",,"    1",,"    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-01-17","0.32",,"38","32","    1",,,,,,"    1",,,,"    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-01-18","0.78",,"32","27",,,,,,,,"    1","    1","    1","    1",
